Дата,Время,Тип события,Температура детали,Температура в камере,Температура диссоциатора,Давление в камере,Расход азота,Расход аммиака,Расход аргона
22.06.2018,13:07:02,Программа запущена,0.5713066,0.8569598,0.6427199,0.005000001,0.0065,0.005000001,0.008000001
22.06.2018,13:07:02,Включен нагрев диссоциатора,0.5713066,0.8569598,0.6427199,0.005000001,0.0065,0.005000001,0.008000001
22.06.2018,13:07:02,Включен насос,0.5713066,0.8569598,0.6427199,0.005000001,0.0065,0.005000001,0.008000001
22.06.2018,13:07:03,,0.5713066,0.8569598,0.6427199,0.005000001,0.0065,0.005000001,0.008000001
22.06.2018,13:07:05,,0.5713066,0.8569598,0.6427199,0.006,0.008000001,0.006,0.010000001
22.06.2018,13:07:06,,0.5713066,0.8569598,0.6427199,0.0065,0.008000001,0.006,0.010000001
22.06.2018,13:07:08,,0.5713066,0.8569598,0.6427199,0.006,0.007500001,0.005500001,0.009000001
22.06.2018,13:07:10,,0.5713066,0.8569598,0.6427199,0.005000001,0.007,0.005000001,0.0085
22.06.2018,13:07:12,,0.5713066,0.8569598,0.6427199,0.0065,0.008000001,0.005500001,0.010000001
22.06.2018,13:07:14,,0.5713066,0.8569598,0.6427199,0.006,0.007500001,0.006,0.009500001
22.06.2018,13:07:15,,0.5713066,0.8569598,0.6427199,0.005500001,0.007,0.005000001,0.009000001
22.06.2018,13:07:17,Открыт клапан откачки камеры Ду25,0.5713066,0.8569598,0.6427199,0.005000001,0.0065,0.005000001,0.008000001
22.06.2018,13:07:17,,0.5713066,0.8569598,0.6427199,0.005000001,0.0065,0.004500001,0.008000001
22.06.2018,13:07:19,,0.5713066,0.8569598,0.6427199,0.0065,0.008000001,0.0065,0.009500001
22.06.2018,13:07:21,,0.5713066,0.8569598,0.6427199,0.005500001,0.0065,0.005000001,0.009000001
22.06.2018,13:07:23,,0.5713066,0.8569598,0.6427199,0.005500001,0.0065,0.005000001,0.009000001
22.06.2018,13:07:24,,0.5713066,0.8569598,0.6427199,0.004500001,0.0065,0.004500001,0.008000001
22.06.2018,13:07:26,,0.5713066,0.8569598,0.6427199,0.005000001,0.0065,0.005000001,0.0085
22.06.2018,13:07:28,,0.5713066,0.8569598,0.6427199,0.005000001,0.0065,0.005000001,0.009000001
22.06.2018,13:07:30,,0.5713066,0.8569598,0.6427199,0.005500001,0.007,0.005500001,0.009000001
22.06.2018,13:07:32,,0.5713066,0.8569598,0.6427199,0.005000001,0.0065,0.005000001,0.009000001
22.06.2018,13:07:33,,0.5713066,0.8569598,0.6427199,0.004500001,0.0065,0.005000001,0.0085
22.06.2018,13:07:35,,0.5713066,0.8569598,0.6427199,0.005000001,0.0065,0.005000001,0.0085
22.06.2018,13:07:37,,0.5713066,0.8569598,0.6427199,0.005500001,0.0065,0.005000001,0.0085
22.06.2018,13:07:39,,0.5713066,0.8569598,0.6784265,0.005000001,0.0065,0.005000001,0.0085
22.06.2018,13:07:41,,0.5713066,0.8569598,0.6784265,0.005000001,0.0065,0.005000001,0.0085
22.06.2018,13:07:42,,0.5713066,0.8569598,1.214026,0.005000001,0.0065,0.005000001,0.009000001
22.06.2018,13:07:44,,0.5713066,0.8569598,1.214026,0.005000001,0.0065,0.005000001,0.009000001
22.06.2018,13:07:46,,0.5713066,0.8569598,35.3853,0.005000001,0.0065,0.005000001,0.0085
22.06.2018,13:07:48,,0.5713066,0.8569598,35.3853,0.005000001,0.0065,0.005000001,0.0085
22.06.2018,13:07:50,,0.5713066,0.8569598,89.69512,0.005000001,0.0065,0.005000001,0.009000001
22.06.2018,13:07:51,,0.5713066,0.8569598,89.69512,0.0065,0.008000001,0.006,0.009500001
22.06.2018,13:07:53,,0.5713066,0.8569598,89.69512,0.004500001,0.0065,0.005000001,0.008000001
22.06.2018,13:07:55,,0.5713066,0.8569598,160.073,0.006,0.0065,0.005000001,0.009000001
22.06.2018,13:07:57,,0.5713066,0.8569598,160.073,0.0065,0.008000001,0.005000001,0.010000001
22.06.2018,13:07:59,,0.5713066,0.8569598,239.0918,0.005000001,0.0065,0.005000001,0.008000001
22.06.2018,13:08:01,,0.5713066,0.8569598,239.0918,0.005500001,0.007,0.005000001,0.009000001
22.06.2018,13:08:02,,0.5713066,0.8569598,293.2945,0.005000001,0.0065,0.004500001,0.0085
22.06.2018,13:08:04,,0.5713066,0.8569598,293.2945,0.005000001,0.0065,0.005000001,0.008000001
22.06.2018,13:08:06,,0.5713066,0.8569598,350.5323,0.005000001,0.0065,0.005000001,0.009000001
22.06.2018,13:08:08,,0.5713066,0.8569598,350.5323,0.005500001,0.007,0.005000001,0.009000001
22.06.2018,13:08:10,,0.5713066,0.8569598,391.2022,0.006,0.008000001,0.006,0.010000001
22.06.2018,13:08:11,,0.5713066,0.8569598,391.2022,0.0065,0.0085,0.006,0.010500001
22.06.2018,13:08:13,,0.5713066,0.8569598,442.2627,0.005000001,0.0065,0.005000001,0.008000001
22.06.2018,13:08:15,,0.5713066,0.8569598,442.2627,0.005500001,0.007500001,0.0065,0.009500001
